"LANG","complexityoflanguages","costoflanguages","RSAcostoflanguages","type"
"fl1302",20,2.80414780195706,2.5745995211084,"Haspel-ok"
"fl1303",2,4.70588235294118,3.64584109017798,"Haspel-ok"
"fl1304",18,2.8901154039137,2.2974469860613,"Haspel-ok"
"fl1305",10,3.63406940063092,2.78752221557282,"Haspel-ok"
"fl1306",12,2.17249182801106,1.89925338420413,"Haspel-ok"
"fl1307",14,2.80633373934227,2.31806544381444,"Haspel-ok"
"fl1308",13,2.15892053973014,1.52631038604199,"Haspel-ok"
"fl1309",4,2.60162601626016,2.0245200899486,"Haspel-ok"
"fl131",17,2.28353948620362,1.87358716532345,"Haspel-ok"
"fl1310",19,2.14978850460314,1.72497502932185,"Haspel-ok"
"fl1311",1,5.4421768707483,4.28164000080908,"Haspel-ok"
"fl1312",4,5.20325203252033,4.00225963168004,"Haspel-ok"
"fl1313",7,2.65560165975104,2.29611680868376,"Haspel-ok"
"fl1314",17,3,1.82837967930785,"Haspel-ok"
"fl1315",11,2.88012000500021,1.76869097743544,"Haspel-ok"
"fl1316",9,3.59550561797753,2.44312142113124,"Haspel-ok"
"fl1317",7,3,2.47709901644527,"Haspel-ok"
"fl1318",13,3.2845466641323,2.95625929238169,"Haspel-ok"
"fl1319",2,4.70588235294118,3.64584109017798,"Haspel-ok"
"fl132",15,3.39582596391935,2.95174609027805,"Haspel-ok"
"fl1320",12,3.06035704165486,2.22144438308779,"Haspel-ok"
"fl1321",6,3.52941176470588,3.0923125686475,"Haspel-ok"
"fl1322",13,2.66251675629035,2.29861367598206,"Haspel-ok"
"fl1323",13,2.3955084217093,1.95981499019542,"Haspel-ok"
"fl1324",15,2.5489545303684,2.24302002866995,"Haspel-ok"
"fl1325",17,3.47350647262202,2.93036208240919,"Haspel-ok"
"fl1326",6,3.79947229551451,2.82267918868425,"Haspel-ok"
"fl1327",9,2.63254113345521,2.34670404380914,"Haspel-ok"
"fl1328",2,12.3076923076923,12.3076923076923,"Haspel-ok"
"fl1329",6,3.02441585718036,2.16820460561447,"Haspel-ok"
"fl133",1,5.4421768707483,4.28164000080908,"Haspel-ok"
"fl1330",5,3.58208955223881,3.49854968733519,"Haspel-ok"
"fl1331",11,1.725584182145,1.56364907042783,"Haspel-ok"
"fl1332",1,12.3076923076923,12.3076923076923,"Haspel-ok"
"fl1333",13,3.33212492383164,2.77443033442566,"Haspel-ok"
"fl1334",14,2.03978044029983,1.71822716238895,"Haspel-ok"
"fl1335",4,4.52830188679245,3.81161892635834,"Haspel-ok"
"fl1336",4,4.472049689441,3.67597393331114,"Haspel-ok"
"fl1337",13,2.60869565217391,2.04440967834089,"Haspel-ok"
"fl1338",20,2.67388781431335,2.35325838009162,"Haspel-ok"
"fl1339",14,1.63497019585581,1.46978902858961,"Haspel-ok"
"fl134",17,2.52183621199186,2.08948798021537,"Haspel-ok"
"fl1340",11,2.69242754752259,2.39103479571048,"Haspel-ok"
"fl1341",5,3.42245989304813,2.23799380116807,"Haspel-ok"
"fl1342",8,2.78126508932883,2.45592432960768,"Haspel-ok"
"fl1343",21,2.5728068608183,2.00791076490265,"Haspel-ok"
"fl1344",2,5.81818181818182,4.55250905328505,"Haspel-ok"
"fl1345",8,2.86757384666446,2.08150762818745,"Haspel-ok"
"fl1346",10,2.60084286574353,2.01375447523741,"Haspel-ok"
"fl1347",2,4.70588235294118,3.64584109017798,"Haspel-ok"
"fl1348",11,2.59039395574744,2.04979002496306,"Haspel-ok"
"fl1349",6,2.21709006928407,2.19052001840773,"Haspel-ok"
"fl135",6,3.26530612244898,2.8668455095581,"Haspel-ok"
"fl1350",4,3.97652744218157,2.9404633463051,"Haspel-ok"
"fl1351",11,2.22823984526112,1.6571574705807,"Haspel-ok"
"fl1352",12,2.71869100062933,2.57833867233326,"Haspel-ok"
"fl1353",14,2.97998341004606,2.02264865013665,"Haspel-ok"
"fl1354",14,3.12432197873725,2.97033541421594,"Haspel-ok"
"fl1355",12,2.95238257957594,2.29305544547829,"Haspel-ok"
"fl1356",3,3.05732484076433,3.05732484076433,"Haspel-ok"
"fl1357",3,5.37313432835821,4.10282579575174,"Haspel-ok"
"fl1358",15,2.4586490235834,1.96630038013269,"Haspel-ok"
"fl1359",2,3.64326375711575,2.98556974622657,"Haspel-ok"
"fl136",12,2.75673709534354,1.99474794026261,"Haspel-ok"
"fl1360",8,3.98340248962656,3.0913590268718,"Haspel-ok"
"fl1361",4,3.3922261484099,3.35200493522517,"Haspel-ok"
